Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_DECODE'.
Using operations until 'PERF_DECODE_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                        Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity            
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 1069    0.0 %         InterleavedToShardedDeviceOperation                  0         2 μs                   10                                                       BF16 => BF16
 1540    0.0 %         TilizeWithValPaddingDeviceOperation                  0         4 μs          1 μs      2                                                       BF16 => BF16
 1541    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      8                                                       BF16 => FP32
 1542    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          0 μs    110                                                       FP32 => FP32
 1543    0.0 %         ReshapeViewDeviceOperation                           0         9 μs          1 μs      4                                                       FP32 => FP32
 1544    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      4                                                       FP32 => BF16
 1545    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs          1 μs      1                                                       BF16 => BF16
 1546    0.0 %         ConcatDeviceOperation                                0         2 μs          1 μs     48                                                 BF16, BF16 => BF16
 1547    0.0 %         TilizeWithValPaddingDeviceOperation                  0         4 μs          1 μs      2                                                       BF16 => BF16
 1548    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      8                                                       BF16 => FP32
 1549    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          0 μs    110                                                       FP32 => FP32
 1550    0.1 %         ReshapeViewDeviceOperation                           0        17 μs          1 μs      8                                                       FP32 => FP32
 1551    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          0 μs    110                                                       FP32 => FP32
 1552    0.0 %         LayerNormDeviceOperation                             0         6 μs          0 μs     48                                                 FP32, FP32 => FP32
 1553    0.0 %         LayerNormDeviceOperation                             0         6 μs          0 μs     48                                                 FP32, FP32 => FP32
 1554    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          1 μs     48                                                       FP32 => FP32
 1555    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          1 μs     48                                                       FP32 => FP32
 1556    0.0 %         UnaryDeviceOperation                                 0         3 μs          0 μs    110                                                       FP32 => FP32
 1557    0.1 %         BinaryNgDeviceOperation                              0        14 μs          0 μs    110                                                 FP32, FP32 => FP32
 1558    0.0 %         MatmulDeviceOperation b={48} x 32 x 128 x 128        0         9 μs          0 μs    110                     5.6 TFLOPs    3.7 %  HiFi4 FP32 x FP32 => FP32
 1559    0.0 %         BinaryNgDeviceOperation                              0         3 μs          1 μs    110                                                 FP32, FP32 => FP32
 1560    0.0 %         BinaryNgDeviceOperation                              0         6 μs          0 μs    110                                                 FP32, FP32 => FP32
 1561    0.0 %         TransposeDeviceOperation                             0         3 μs          1 μs    110                                                       FP32 => FP32
 1562    0.1 %         MatmulDeviceOperation b={48} x 128 x 32 x 128        0        13 μs          0 μs    110                     3.8 TFLOPs    2.5 %  HiFi4 FP32 x FP32 => FP32
 1563    0.0 %         BinaryNgDeviceOperation                              0         9 μs          1 μs    110                                                 FP32, FP32 => FP32
 1564    0.0 %         MatmulDeviceOperation b={48} x 32 x 128 x 128        0         9 μs          0 μs    110                     5.4 TFLOPs    3.6 %  HiFi4 FP32 x FP32 => FP32
 1565    0.1 %         CopyDeviceOperation                                  0        12 μs          0 μs    110                                                 FP32, FP32 => FP32
 1566    0.1 %         ReshapeViewDeviceOperation                           0        16 μs          1 μs      8                                                       FP32 => FP32
 1567    0.1 %         ReshapeViewDeviceOperation                           0        19 μs          1 μs      8                                                       BF16 => BF16
 1568    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      8                                                       FP32 => BF16
 1569    0.0 %         LayerNormDeviceOperation                             0         5 μs          1 μs      2                                                 BF16, BF16 => BF16
 1570    0.0 %         BinaryNgDeviceOperation                              0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 1571    0.0 %         ReshapeViewDeviceOperation                           0         3 μs          1 μs    110                                                       BF16 => BF16
 1572    0.7 %   DRAM  MatmulDeviceOperation 32 x 6144 x 5120               0       153 μs          0 μs     80  412 GB/s  80.6 %  13.1 TFLOPs   11.9 %  HiFi4 BF16 x BF16 => BF16
 1573    0.0 %         BinaryNgDeviceOperation                              0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 1574    0.0 %         InterleavedToShardedDeviceOperation                  0         2 μs          1 μs     10                                                       BF16 => BF16
 1575    0.0 %         LayerNormDeviceOperation                             0        10 μs          1 μs     10                                                 BF16, BF16 => BF16
 1576    0.0 %         ShardedToInterleavedDeviceOperation                  0         2 μs          1 μs     10                                                       BF16 => BF16
 1577    3.8 %   DRAM  MatmulDeviceOperation 32 x 5120 x 34816              0       866 μs          1 μs    109  414 GB/s  81.0 %  13.2 TFLOPs    8.7 %  HiFi4 BF16 x BF16 => BF16
 1578    0.0 %         SliceDeviceOperation                                 0         6 μs          1 μs    110                                                       BF16 => BF16
 1579    0.0 %         SliceDeviceOperation                                 0         7 μs          1 μs    110                                                       BF16 => BF16
 1580    0.0 %         UnaryDeviceOperation                                 0         7 μs          1 μs    110                                                       BF16 => BF16
 1581    0.0 %         BinaryNgDeviceOperation                              0        10 μs          1 μs    110                                                 BF16, BF16 => BF16
 1582    0.0 %         SliceDeviceOperation                                 0         6 μs          1 μs    110                                                       BF16 => BF16
 1583    1.9 %   DRAM  MatmulDeviceOperation 32 x 17408 x 5120              0       430 μs          1 μs     80  418 GB/s  81.7 %  13.3 TFLOPs   12.0 %  HiFi4 BF16 x BF16 => BF16
 1584    0.0 %         BinaryNgDeviceOperation                              0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 1585    0.0 %         InterleavedToShardedDeviceOperation                  0         2 μs          4 μs     10                                                       BF16 => BF16
 1586    0.1 %         LayerNormDeviceOperation                             0        10 μs          3 μs     10                                                 BF16, BF16 => BF16
 1587    0.0 %         ShardedToInterleavedDeviceOperation                  0         2 μs          1 μs     10                                                       BF16 => BF16
 1588    1.2 %   DRAM  MatmulDeviceOperation 32 x 5120 x 10240              0       262 μs          1 μs    107  406 GB/s  79.4 %  12.8 TFLOPs    8.7 %  HiFi4 BF16 x BF16 => FP32
 1589    0.7 %   DRAM  MatmulDeviceOperation 32 x 5120 x 6144               0       149 μs          1 μs     96  427 GB/s  83.4 %  13.5 TFLOPs   10.2 %  HiFi4 BF16 x BF16 => BF16
 1590    0.0 %         UnaryDeviceOperation                                 0         4 μs          1 μs    110                                                       BF16 => BF16
 1591    0.3 %   SLOW  MatmulDeviceOperation 32 x 5120 x 128                0        60 μs          1 μs      4   49 GB/s   9.6 %   0.7 TFLOPs   12.6 %  HiFi4 BF16 x FP32 => FP32
 1592    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      2                                                       FP32 => FP32
 1593    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      2                                                       FP32 => FP32
 1594    0.0 %         UnaryDeviceOperation                                 0         3 μs          1 μs    110                                                       FP32 => FP32
 1595    0.0 %         UnaryDeviceOperation                                 0         5 μs          1 μs    110                                                       FP32 => FP32
 1596    0.0 %         BinaryNgDeviceOperation                              0         3 μs          1 μs    110                                                 FP32, FP32 => FP32
 1597    0.0 %         BinaryNgDeviceOperation                              0         8 μs          1 μs    110                                                 FP32, FP32 => FP32
 1598    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0         6 μs          1 μs    107                                                       FP32 => FP32
 1599    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      1                                                       FP32 => FP32
 1600    0.1 %         TilizeWithValPaddingDeviceOperation                  0        10 μs         22 μs    107                                                       FP32 => FP32
 1601    0.0 %         TernaryDeviceOperation                               0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1602    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         36 μs    107                                                       FP32 => FP32
 1603    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      1                                                       FP32 => FP32
 1604    0.2 %         TilizeWithValPaddingDeviceOperation                  0        10 μs         42 μs    107                                                       FP32 => FP32
 1605    0.0 %         TernaryDeviceOperation                               0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1606    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         35 μs    107                                                       FP32 => FP32
 1607    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      1                                                       FP32 => FP32
 1608    0.2 %         TilizeWithValPaddingDeviceOperation                  0        10 μs         42 μs    107                                                       FP32 => FP32
 1609    0.0 %         TernaryDeviceOperation                               0         8 μs          1 μs    110                                                 FP32, FP32 => FP32
 1610    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         39 μs    107                                                       FP32 => FP32
 1611    0.0 %         SliceDeviceOperation                                 0         3 μs          1 μs      3                                                       FP32 => FP32
 1612    0.2 %         TilizeWithValPaddingDeviceOperation                  0        13 μs         43 μs    107                                                       FP32 => FP32
 1613    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         36 μs    107                                                       FP32 => FP32
 1614    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         44 μs    107                                                       FP32 => FP32
 1615    0.0 %         ConcatDeviceOperation                                0         3 μs          1 μs      4                                                 FP32, FP32 => FP32
 1616    0.2 %         TilizeWithValPaddingDeviceOperation                  0        13 μs         43 μs    107                                                       FP32 => FP32
 1617    0.0 %         CopyDeviceOperation                                  0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1618    0.0 %         UnaryDeviceOperation                                 0         6 μs          1 μs    110                                                       FP32 => FP32
 1619    0.0 %         SliceDeviceOperation                                 0         1 μs          1 μs     64                                                       FP32 => FP32
 1620    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs     64                                                       FP32 => FP32
 1621    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs    110                                                       FP32 => FP32
 1622    0.0 %         ReshapeViewDeviceOperation                           0         9 μs          1 μs      4                                                       FP32 => FP32
 1623    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      4                                                       FP32 => BF16
 1624    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0         6 μs          1 μs      1                                                       BF16 => BF16
 1625    0.0 %         ConcatDeviceOperation                                0         2 μs          1 μs     48                                                 BF16, BF16 => BF16
 1626    0.0 %         TilizeWithValPaddingDeviceOperation                  0         4 μs          1 μs      2                                                       BF16 => BF16
 1627    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      8                                                       BF16 => FP32
 1628    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          0 μs    110                                                       FP32 => FP32
 1629    0.0 %         ReshapeViewDeviceOperation                           0         9 μs          1 μs      4                                                       FP32 => FP32
 1630    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      4                                                       FP32 => BF16
 1631    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0         6 μs          1 μs      1                                                       BF16 => BF16
 1632    0.0 %         ConcatDeviceOperation                                0         2 μs          1 μs     48                                                 BF16, BF16 => BF16
 1633    0.0 %         TilizeWithValPaddingDeviceOperation                  0         4 μs          1 μs      2                                                       BF16 => BF16
 1634    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      8                                                       BF16 => FP32
 1635    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          0 μs    110                                                       FP32 => FP32
 1636    0.1 %         ReshapeViewDeviceOperation                           0        17 μs          1 μs      8                                                       FP32 => FP32
 1637    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          0 μs    110                                                       FP32 => FP32
 1638    0.0 %         LayerNormDeviceOperation                             0         6 μs          0 μs     48                                                 FP32, FP32 => FP32
 1639    0.0 %         LayerNormDeviceOperation                             0         6 μs          0 μs     48                                                 FP32, FP32 => FP32
 1640    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          1 μs     48                                                       FP32 => FP32
 1641    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          1 μs     48                                                       FP32 => FP32
 1642    0.0 %         UnaryDeviceOperation                                 0         3 μs          0 μs    110                                                       FP32 => FP32
 1643    0.1 %         BinaryNgDeviceOperation                              0        14 μs          0 μs    110                                                 FP32, FP32 => FP32
 1644    0.0 %         MatmulDeviceOperation b={48} x 32 x 128 x 128        0         9 μs          1 μs    110                     5.8 TFLOPs    3.8 %  HiFi4 FP32 x FP32 => FP32
 1645    0.0 %         BinaryNgDeviceOperation                              0         3 μs          1 μs    110                                                 FP32, FP32 => FP32
 1646    0.0 %         BinaryNgDeviceOperation                              0         6 μs          1 μs    110                                                 FP32, FP32 => FP32
 1647    0.0 %         TransposeDeviceOperation                             0         3 μs          1 μs    110                                                       FP32 => FP32
 1648    0.1 %         MatmulDeviceOperation b={48} x 128 x 32 x 128        0        13 μs          1 μs    110                     3.8 TFLOPs    2.5 %  HiFi4 FP32 x FP32 => FP32
 1649    0.0 %         BinaryNgDeviceOperation                              0         8 μs          1 μs    110                                                 FP32, FP32 => FP32
 1650    0.0 %         MatmulDeviceOperation b={48} x 32 x 128 x 128        0         9 μs          1 μs    110                     5.5 TFLOPs    3.6 %  HiFi4 FP32 x FP32 => FP32
 1651    0.1 %         CopyDeviceOperation                                  0        12 μs          0 μs    110                                                 FP32, FP32 => FP32
 1652    0.1 %         ReshapeViewDeviceOperation                           0        16 μs          1 μs      8                                                       FP32 => FP32
 1653    0.1 %         ReshapeViewDeviceOperation                           0        19 μs          1 μs      8                                                       BF16 => BF16
 1654    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      8                                                       FP32 => BF16
 1655    0.0 %         LayerNormDeviceOperation                             0         5 μs          1 μs      2                                                 BF16, BF16 => BF16
 1656    0.0 %         BinaryNgDeviceOperation                              0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 1657    0.0 %         ReshapeViewDeviceOperation                           0         3 μs          1 μs    110                                                       BF16 => BF16
 1658    0.7 %   DRAM  MatmulDeviceOperation 32 x 6144 x 5120               0       155 μs          0 μs     80  409 GB/s  79.9 %  13.0 TFLOPs   11.8 %  HiFi4 BF16 x BF16 => BF16
 1659    0.0 %         BinaryNgDeviceOperation                              0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 1660    0.0 %         InterleavedToShardedDeviceOperation                  0         2 μs          1 μs     10                                                       BF16 => BF16
 1661    0.0 %         LayerNormDeviceOperation                             0        10 μs          1 μs     10                                                 BF16, BF16 => BF16
 1662    0.0 %         ShardedToInterleavedDeviceOperation                  0         2 μs          1 μs     10                                                       BF16 => BF16
 1663    3.8 %   DRAM  MatmulDeviceOperation 32 x 5120 x 34816              0       866 μs          1 μs    109  414 GB/s  81.0 %  13.2 TFLOPs    8.7 %  HiFi4 BF16 x BF16 => BF16
 1664    0.0 %         SliceDeviceOperation                                 0         6 μs          1 μs    110                                                       BF16 => BF16
 1665    0.0 %         SliceDeviceOperation                                 0         7 μs          1 μs    110                                                       BF16 => BF16
 1666    0.0 %         UnaryDeviceOperation                                 0         7 μs          1 μs    110                                                       BF16 => BF16
 1667    0.0 %         BinaryNgDeviceOperation                              0         9 μs          1 μs    110                                                 BF16, BF16 => BF16
 1668    0.0 %         SliceDeviceOperation                                 0         6 μs          1 μs    110                                                       BF16 => BF16
 1669    1.9 %   DRAM  MatmulDeviceOperation 32 x 17408 x 5120              0       429 μs          1 μs     80  419 GB/s  81.8 %  13.3 TFLOPs   12.0 %  HiFi4 BF16 x BF16 => BF16
 1670    0.0 %         BinaryNgDeviceOperation                              0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 1671    0.0 %         InterleavedToShardedDeviceOperation                  0         2 μs          4 μs     10                                                       BF16 => BF16
 1672    0.1 %         LayerNormDeviceOperation                             0        10 μs          3 μs     10                                                 BF16, BF16 => BF16
 1673    0.0 %         ShardedToInterleavedDeviceOperation                  0         2 μs          1 μs     10                                                       BF16 => BF16
 1674    1.2 %   DRAM  MatmulDeviceOperation 32 x 5120 x 10240              0       263 μs          1 μs    107  406 GB/s  79.2 %  12.8 TFLOPs    8.6 %  HiFi4 BF16 x BF16 => FP32
 1675    0.7 %   DRAM  MatmulDeviceOperation 32 x 5120 x 6144               0       148 μs          1 μs     96  429 GB/s  83.8 %  13.6 TFLOPs   10.2 %  HiFi4 BF16 x BF16 => BF16
 1676    0.0 %         UnaryDeviceOperation                                 0         4 μs          1 μs    110                                                       BF16 => BF16
 1677    0.3 %   SLOW  MatmulDeviceOperation 32 x 5120 x 128                0        60 μs          1 μs      4   50 GB/s   9.7 %   0.7 TFLOPs   12.7 %  HiFi4 BF16 x FP32 => FP32
 1678    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      2                                                       FP32 => FP32
 1679    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      2                                                       FP32 => FP32
 1680    0.0 %         UnaryDeviceOperation                                 0         3 μs          1 μs    110                                                       FP32 => FP32
 1681    0.0 %         UnaryDeviceOperation                                 0         5 μs          1 μs    110                                                       FP32 => FP32
 1682    0.0 %         BinaryNgDeviceOperation                              0         3 μs          1 μs    110                                                 FP32, FP32 => FP32
 1683    0.0 %         BinaryNgDeviceOperation                              0         9 μs          1 μs    110                                                 FP32, FP32 => FP32
 1684    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0         6 μs          0 μs    107                                                       FP32 => FP32
 1685    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      1                                                       FP32 => FP32
 1686    0.1 %         TilizeWithValPaddingDeviceOperation                  0        11 μs         23 μs    107                                                       FP32 => FP32
 1687    0.0 %         TernaryDeviceOperation                               0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1688    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         36 μs    107                                                       FP32 => FP32
 1689    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      1                                                       FP32 => FP32
 1690    0.2 %         TilizeWithValPaddingDeviceOperation                  0        10 μs         42 μs    107                                                       FP32 => FP32
 1691    0.0 %         TernaryDeviceOperation                               0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1692    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         35 μs    107                                                       FP32 => FP32
 1693    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      1                                                       FP32 => FP32
 1694    0.2 %         TilizeWithValPaddingDeviceOperation                  0        10 μs         42 μs    107                                                       FP32 => FP32
 1695    0.0 %         TernaryDeviceOperation                               0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1696    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         39 μs    107                                                       FP32 => FP32
 1697    0.0 %         SliceDeviceOperation                                 0         3 μs          1 μs      3                                                       FP32 => FP32
 1698    0.2 %         TilizeWithValPaddingDeviceOperation                  0        13 μs         43 μs    107                                                       FP32 => FP32
 1699    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         36 μs    107                                                       FP32 => FP32
 1700    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         44 μs    107                                                       FP32 => FP32
 1701    0.0 %         ConcatDeviceOperation                                0         3 μs          1 μs      4                                                 FP32, FP32 => FP32
 1702    0.2 %         TilizeWithValPaddingDeviceOperation                  0        13 μs         43 μs    107                                                       FP32 => FP32
 1703    0.0 %         CopyDeviceOperation                                  0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1704    0.0 %         UnaryDeviceOperation                                 0         6 μs          1 μs    110                                                       FP32 => FP32
 1705    0.0 %         SliceDeviceOperation                                 0         1 μs          1 μs     64                                                       FP32 => FP32
 1706    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs     64                                                       FP32 => FP32
 1707    0.0 %         SliceDeviceOperation                                 0         2 μs          0 μs    110                                                       FP32 => FP32
 1708    0.0 %         ReshapeViewDeviceOperation                           0         9 μs          1 μs      4                                                       FP32 => FP32
 1709    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      4                                                       FP32 => BF16
 1710    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs          1 μs      1                                                       BF16 => BF16
 1711    0.0 %         ConcatDeviceOperation                                0         2 μs          1 μs     48                                                 BF16, BF16 => BF16
 1712    0.0 %         TilizeWithValPaddingDeviceOperation                  0         4 μs          1 μs      2                                                       BF16 => BF16
 1713    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      8                                                       BF16 => FP32
 1714    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          0 μs    110                                                       FP32 => FP32
 1715    0.0 %         ReshapeViewDeviceOperation                           0         9 μs          1 μs      4                                                       FP32 => FP32
 1716    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      4                                                       FP32 => BF16
 1717    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0         6 μs          1 μs      1                                                       BF16 => BF16
 1718    0.0 %         ConcatDeviceOperation                                0         2 μs          1 μs     48                                                 BF16, BF16 => BF16
 1719    0.0 %         TilizeWithValPaddingDeviceOperation                  0         4 μs          1 μs      2                                                       BF16 => BF16
 1720    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      8                                                       BF16 => FP32
 1721    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          0 μs    110                                                       FP32 => FP32
 1722    0.1 %         ReshapeViewDeviceOperation                           0        17 μs          1 μs      8                                                       FP32 => FP32
 1723    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          0 μs    110                                                       FP32 => FP32
 1724    0.0 %         LayerNormDeviceOperation                             0         6 μs          0 μs     48                                                 FP32, FP32 => FP32
 1725    0.0 %         LayerNormDeviceOperation                             0         6 μs          0 μs     48                                                 FP32, FP32 => FP32
 1726    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          1 μs     48                                                       FP32 => FP32
 1727    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          1 μs     48                                                       FP32 => FP32
 1728    0.0 %         UnaryDeviceOperation                                 0         3 μs          0 μs    110                                                       FP32 => FP32
 1729    0.1 %         BinaryNgDeviceOperation                              0        14 μs          0 μs    110                                                 FP32, FP32 => FP32
 1730    0.0 %         MatmulDeviceOperation b={48} x 32 x 128 x 128        0         9 μs          0 μs    110                     5.7 TFLOPs    3.7 %  HiFi4 FP32 x FP32 => FP32
 1731    0.0 %         BinaryNgDeviceOperation                              0         3 μs          0 μs    110                                                 FP32, FP32 => FP32
 1732    0.0 %         BinaryNgDeviceOperation                              0         6 μs          0 μs    110                                                 FP32, FP32 => FP32
 1733    0.0 %         TransposeDeviceOperation                             0         3 μs          0 μs    110                                                       FP32 => FP32
 1734    0.1 %         MatmulDeviceOperation b={48} x 128 x 32 x 128        0        13 μs          1 μs    110                     3.8 TFLOPs    2.5 %  HiFi4 FP32 x FP32 => FP32
 1735    0.0 %         BinaryNgDeviceOperation                              0         9 μs          1 μs    110                                                 FP32, FP32 => FP32
 1736    0.0 %         MatmulDeviceOperation b={48} x 32 x 128 x 128        0         9 μs          1 μs    110                     5.7 TFLOPs    3.8 %  HiFi4 FP32 x FP32 => FP32
 1737    0.1 %         CopyDeviceOperation                                  0        12 μs          0 μs    110                                                 FP32, FP32 => FP32
 1738    0.1 %         ReshapeViewDeviceOperation                           0        17 μs          1 μs      8                                                       FP32 => FP32
 1739    0.1 %         ReshapeViewDeviceOperation                           0        19 μs          1 μs      8                                                       BF16 => BF16
 1740    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      8                                                       FP32 => BF16
 1741    0.0 %         LayerNormDeviceOperation                             0         5 μs          1 μs      2                                                 BF16, BF16 => BF16
 1742    0.0 %         BinaryNgDeviceOperation                              0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 1743    0.0 %         ReshapeViewDeviceOperation                           0         3 μs          1 μs    110                                                       BF16 => BF16
 1744    0.7 %   DRAM  MatmulDeviceOperation 32 x 6144 x 5120               0       154 μs          0 μs     80  411 GB/s  80.3 %  13.1 TFLOPs   11.8 %  HiFi4 BF16 x BF16 => BF16
 1745    0.0 %         BinaryNgDeviceOperation                              0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 1746    0.0 %         InterleavedToShardedDeviceOperation                  0         2 μs          1 μs     10                                                       BF16 => BF16
 1747    0.0 %         LayerNormDeviceOperation                             0        10 μs          1 μs     10                                                 BF16, BF16 => BF16
 1748    0.0 %         ShardedToInterleavedDeviceOperation                  0         2 μs          1 μs     10                                                       BF16 => BF16
 1749    3.8 %   DRAM  MatmulDeviceOperation 32 x 5120 x 34816              0       869 μs          1 μs    109  413 GB/s  80.7 %  13.1 TFLOPs    8.7 %  HiFi4 BF16 x BF16 => BF16
 1750    0.0 %         SliceDeviceOperation                                 0         6 μs          1 μs    110                                                       BF16 => BF16
 1751    0.0 %         SliceDeviceOperation                                 0         6 μs          1 μs    110                                                       BF16 => BF16
 1752    0.0 %         UnaryDeviceOperation                                 0         7 μs          1 μs    110                                                       BF16 => BF16
 1753    0.0 %         BinaryNgDeviceOperation                              0         9 μs          1 μs    110                                                 BF16, BF16 => BF16
 1754    0.0 %         SliceDeviceOperation                                 0         6 μs          1 μs    110                                                       BF16 => BF16
 1755    1.9 %   DRAM  MatmulDeviceOperation 32 x 17408 x 5120              0       428 μs          1 μs     80  420 GB/s  82.0 %  13.3 TFLOPs   12.1 %  HiFi4 BF16 x BF16 => BF16
 1756    0.0 %         BinaryNgDeviceOperation                              0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       100.0 %         688 device ops, 0 host ops, 0 signposts                   19,162 μs      3,458 μs         324 GB/s  63.2 %                                                 
